Id,OwnerId,Name,TASKRAY__Archived__c,TASKRAY__Blocked__c,TASKRAY__Deadline__c,TASKRAY__Dependent_Update_Pending__c,TASKRAY__List__c,TASKRAY__Priority__c,TASKRAY__Project__c,TASKRAY__RepeatCreated__c,TASKRAY__Repeat_Interval_Type__c,TASKRAY__SortOrder__c,TASKRAY__Status__c,TASKRAY__trBusinessDuration__c,TASKRAY__trBusinessHrsOverride__c,TASKRAY__trCompleted__c,TASKRAY__trIsMilestone__c,TASKRAY__trLockDates__c,TASKRAY__trPredecessorTasksIncomplete__c,TASKRAY__trProjectSortOrder__c,TASKRAY__trScheduleConflict__c,TASKRAY__trStartDate__c,TASKRAY__trTaskGroup__c
$Task1,$User: Robert Boyd,Product Training,false,false,$T+11,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,2,false,false,false,false,true,5,false,$T+10,$TaskGroup2
$Task2,$User: Robert Boyd,Checkup Call,false,false,$T+18,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,true,10,false,$T+18,$TaskGroup1
$Task3,$User: Robert Boyd,Send Welcome Email,false,false,$T+0,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,false,0,false,$T+0,$TaskGroup3
$Task4,$User: Robert Boyd,Determine Success Criteria,false,false,$T+5,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,true,2,false,$T+5,$TaskGroup3
$Task5,$User: Robert Boyd,Introduce Account Manager,false,false,$T+3,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,true,1,false,$T+3,$TaskGroup3
$Task6,$User: Robert Boyd,Check Usage Data,false,false,$T+12,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,true,6,false,$T+12,$TaskGroup2
$Task7,$User: Robert Boyd,Prepare Training Resources,false,false,$T+7,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,true,4,false,$T+7,$TaskGroup2
$Task8,$User: Robert Boyd,Phase 2 Complete,false,false,$T+13,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,true,false,true,7,false,$T+13,$TaskGroup2
$Task9,$User: Robert Boyd,Phase 1 Complete,false,false,$T+6,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,true,false,true,3,false,$T+6,$TaskGroup3
$Task10,$User: Robert Boyd,Review Success Criteria,false,false,$T+17,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,true,9,false,$T+17,$TaskGroup1
$Task11,$User: Robert Boyd,Send Thank You Package,false,false,$T+14,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,true,8,false,$T+14,$TaskGroup1
$Task12,$User: Robert Boyd,Phase 3 Complete,false,false,$T+19,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,true,false,true,11,false,$T+19,$TaskGroup1
