Id,OwnerId,Name,TASKRAY__Archived__c,TASKRAY__Blocked__c,TASKRAY__Deadline__c,TASKRAY__Dependent_Update_Pending__c,TASKRAY__List__c,TASKRAY__Priority__c,TASKRAY__Project__c,TASKRAY__RepeatCreated__c,TASKRAY__Repeat_Interval_Type__c,TASKRAY__SortOrder__c,TASKRAY__Status__c,TASKRAY__trBusinessDuration__c,TASKRAY__trBusinessHrsOverride__c,TASKRAY__trCompleted__c,TASKRAY__trIsMilestone__c,TASKRAY__trLockDates__c,TASKRAY__trPredecessorTasksIncomplete__c,TASKRAY__trProjectSortOrder__c,TASKRAY__trScheduleConflict__c,TASKRAY__trStartDate__c,TASKRAY__trTaskGroup__c
$Task1,$User: Robert Boyd,OFAC Compliance Check,false,false,$T+3,false,Holding,Normal,$Project1,false,Does not repeat,1,Not Yet Started,1,false,false,false,false,true,1,false,$T+3,$TaskGroup3
$Task2,$User: Robert Boyd,Implementation Meeting,false,false,$T+21,false,Holding,Normal,$Project1,false,Does not repeat,1,Not Yet Started,1,false,false,false,false,true,11,false,$T+21,$TaskGroup2
$Task3,$User: Robert Boyd,Schedule Implementation Meeting,false,false,$T+18,false,Holding,Normal,$Project1,false,Does not repeat,2,Not Yet Started,1,false,false,true,false,true,9,false,$T+18,$TaskGroup1
$Task4,$User: Robert Boyd,Create Internal Client File,false,false,$T+0,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,false,0,false,$T+0,$TaskGroup3
$Task5,$User: Robert Boyd,Open Brokerage Account,false,false,$T+7,false,Holding,Normal,$Project1,false,Does not repeat,4,Not Yet Started,1,false,false,false,false,true,4,false,$T+7,$TaskGroup3
$Task6,$User: Robert Boyd,Prepare Implementation Meeting Materials,false,false,$T+19,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,false,false,true,10,false,$T+19,$TaskGroup2
$Task7,$User: Robert Boyd,Execute Post-Meeting Trades,false,false,$T+21,false,Holding,Normal,$Project1,false,Does not repeat,2,Not Yet Started,1,false,false,false,false,true,12,false,$T+21,$TaskGroup2
$Task8,$User: Robert Boyd,Upload Account Statements,false,false,$T+6,false,Holding,Normal,$Project1,false,Does not repeat,3,Not Yet Started,1,false,false,false,false,true,3,false,$T+6,$TaskGroup3
$Task9,$User: Robert Boyd,Review Financial Plan & Portfolio with Client,false,false,$T+17,false,Holding,Normal,$Project1,false,Does not repeat,1,Not Yet Started,1,false,false,false,false,true,8,false,$T+17,$TaskGroup1
$Task10,$User: Robert Boyd,Create Financial Plan,false,false,$T+13,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,2,false,false,false,false,true,7,false,$T+12,$TaskGroup1
$Task11,$User: Robert Boyd,Account Opened,false,false,$T+11,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,1,false,false,true,false,true,6,false,$T+11,$TaskGroup3
$Task12,$User: Robert Boyd,Send Questionnaire,false,false,$T+5,false,Holding,Normal,$Project1,false,Does not repeat,2,Not Yet Started,2,false,false,false,false,true,2,false,$T+4,$TaskGroup3
$Task13,$User: Robert Boyd,Onboarding Complete,false,false,$T+21,false,Holding,Normal,$Project1,false,Does not repeat,3,Not Yet Started,1,false,false,true,false,true,13,false,$T+21,$TaskGroup2
$Task14,$User: Robert Boyd,Confirm Account Transfer is Complete,false,false,$T+10,false,Holding,Normal,$Project1,false,Does not repeat,5,Not Yet Started,1,false,false,false,false,true,5,false,$T+10,$TaskGroup3
